cancer,gene,CGC,NCG6.0,mutation,CNV,methylation,miRNA
BRCA,ZNF703,0,0,0,1,0,hsa-miR-155-5p
BRCA,CACNG4,0,0,0,1,0,
BRCA,TESMIN,0,0,0,1,0,
BRCA,RNF43,1,1,0,1,0,
BRCA,CDK12,1,1,0,1,0,
BRCA,SNF8,0,0,0,1,0,
BRCA,MED24,0,0,0,1,0,
BRCA,MED1,0,1,0,1,0,
BRCA,EIF4EBP1,0,0,0,1,0,
BRCA,NHLRC4,0,0,0,1,0,
BRCA,CALCOCO2,0,0,0,1,0,
BRCA,UTP18,0,0,0,1,0,
BRCA,NDRG1,1,1,0,1,0,
BRCA,MIEN1,0,0,0,1,0,
BRCA,RAB26,0,0,0,1,0,
BRCA,PSMD3,0,0,0,1,0,
BRCA,C16orf45,0,0,0,1,0,hsa-miR-130b-3p
BRCA,THRA,0,0,0,1,0,
BRCA,GDPD1,0,0,0,1,0,
BRCA,ORMDL3,0,0,0,1,0,
BRCA,TOB1,0,0,0,1,-1,
BRCA,JPT1,0,0,0,1,0,
BRCA,LETM2,0,0,0,1,0,
BRCA,NR1D1,0,0,0,1,0,
BRCA,RPS6KB1,0,0,0,1,0,
BRCA,JPH1,0,0,0,1,0,
BRCA,TM2D2,0,0,0,1,0,
BRCA,ANO1,0,0,0,1,0,
BRCA,SHISA9,0,0,0,1,0,
BRCA,METRN,0,0,0,1,0,
BRCA,C8orf86,0,0,0,1,0,
BRCA,POLR2K,0,0,0,1,0,
BRCA,FGFR1,1,1,0,1,0,
BRCA,MAPK15,0,0,0,1,0,
BRCA,NME1,0,0,0,1,0,
BRCA,SHANK2,0,1,0,1,0,
BRCA,TK1,0,0,0,1,0,
BRCA,SGK3,0,0,0,1,0,
BRCA,TFRC,1,1,0,1,0,
BRCA,ZNF652,0,0,0,1,0,
BRCA,DOC2A,0,0,0,1,0,
BRCA,POMK,0,0,0,1,0,
BRCA,IGFALS,0,0,0,1,0,
BRCA,XKR9,0,0,0,1,0,
BRCA,CACNB1,0,0,0,1,0,
BRCA,VWA3A,0,0,0,1,0,
BRCA,SYCP2,0,0,0,1,0,
BRCA,EPHX2,0,0,0,-1,0,hsa-miR-130b-5p
BRCA,ADAM32,0,0,0,1,0,
BRCA,DLX3,0,0,0,1,0,
BRCA,DLX4,0,0,0,1,0,
BRCA,RHBDL1,0,0,0,1,0,
BRCA,RAPGEFL1,0,0,0,1,0,
BRCA,RIMS4,0,0,0,1,0,
BRCA,GPT2,0,0,0,-1,0,
BRCA,C16orf92,0,0,0,1,0,
BRCA,RPL19,0,0,0,1,0,
BRCA,MAFA,0,1,0,1,0,
BRCA,GSDMB,0,0,0,1,0,
BRCA,ORC6,0,0,0,-1,0,
BRCA,FAM57B,0,0,0,1,0,
BRCA,TCAP,0,0,0,1,0,
BRCA,WFDC3,0,0,0,1,0,
BRCA,MYT1,0,1,0,1,0,
BRCA,GNG13,0,0,0,1,0,
BRCA,ADM2,0,0,0,-1,0,
BRCA,GSTT2B,0,0,0,-1,0,
BRCA,PPM1E,0,0,0,1,0,
BRCA,MVD,0,0,0,-1,0,
BRCA,CNGB3,0,0,0,1,0,
BRCA,C17orf82,0,0,0,1,0,
BRCA,LRRC3C,0,0,0,1,0,
BRCA,ABCC3,0,0,0,1,0,
BRCA,KIF13B,0,0,0,-1,0,
BRCA,NME1-NME2,0,0,0,1,0,
BRCA,POLR2F,0,0,0,-1,0,
BRCA,SLC7A5,0,0,0,-1,0,
BRCA,MPZL2,0,0,0,-1,0,
BRCA,PLCG2,0,1,0,-1,0,
BRCA,PRAG1,0,0,0,-1,0,
BRCA,TNFRSF10C,0,0,0,-1,0,
BRCA,FOXL1,0,0,0,-1,0,
BRCA,NAT1,0,0,0,-1,0,
BRCA,PSD3,0,0,0,-1,0,
BRCA,MTERF3,0,0,0,1,0,
BRCA,TUBB3,0,0,0,-1,0,
BRCA,CDH3,0,0,0,-1,0,
BRCA,BIRC3,1,1,0,-1,0,
BRCA,MYO16,0,0,0,-1,0,
BRCA,ADGRG3,0,0,0,-1,0,
BRCA,MT1X,0,0,0,-1,0,
BRCA,CARMIL2,0,0,0,-1,0,
BRCA,UGT2B17,0,0,0,-1,0,
BRCA,MTBP,0,0,0,1,0,
BRCA,HEPHL1,0,0,0,-1,0,
BRCA,NKX3-1,0,1,0,-1,0,
BRCA,PEBP4,0,0,0,-1,0,
BRCA,SLC22A31,0,0,0,-1,0,
BRCA,EGR3,0,1,0,-1,0,
BRCA,YWHAZ,0,0,0,1,0,
BRCA,DCAF13,0,0,0,1,0,
BRCA,NUDCD1,0,0,0,1,0,
BRCA,RAD21,1,1,0,1,0,
BRCA,RAD54B,0,0,0,1,0,
BRCA,DSCC1,0,0,0,1,0,
BRCA,ATAD2,0,1,0,1,0,
BRCA,SQLE,0,0,0,1,0,
BRCA,MRPL13,0,0,0,1,0,
BRCA,E2F5,0,0,0,1,0,
BRCA,NDUFB9,0,1,0,1,0,
BRCA,PABPC1,1,1,0,1,0,
BRCA,TPD52,0,0,0,1,0,
BRCA,FZD6,0,0,0,1,0,
BRCA,NDUFAF6,0,0,0,1,0,
BRCA,ZNF572,0,1,0,1,0,
BRCA,MAL2,0,0,0,1,0,
BRCA,ZHX1-C8orf76,0,0,0,1,0,
BRCA,CCNE2,0,0,0,1,0,
BRCA,MUC1,1,1,0,1,0,
BRCA,LAPTM4B,0,1,0,1,0,
BRCA,WWP1,0,1,0,1,0,
BRCA,AURKA,0,1,0,1,0,
BRCA,TSPYL5,0,0,0,1,0,
BRCA,C2CD4D,0,0,0,1,0,
BRCA,ZBTB18,0,0,0,1,0,
BRCA,BCAS4,0,0,0,1,0,
BRCA,ATP9A,0,0,0,1,0,
BRCA,AARD,0,0,0,1,0,
BRCA,PPP1R3D,0,0,0,1,0,
BRCA,CPNE1,0,1,0,1,0,
BRCA,CAPN9,0,0,0,1,-1,
BRCA,S100A1,0,0,0,1,0,
BRCA,SLC17A9,0,0,0,1,0,
BRCA,PTPN1,0,1,0,1,0,
BRCA,RDH10,0,0,0,1,0,
BRCA,EEF1A2,0,0,0,1,0,hsa-miR-155-5p
BRCA,AGT,0,0,0,1,0,
BRCA,PARD6B,0,1,0,1,0,
BRCA,SPAG4,0,0,0,1,0,
BRCA,CNBD2,0,0,0,1,0,
BRCA,ADCY10,0,0,0,0,-1,
BRCA,ALKBH3,0,0,0,0,1,
BRCA,ARHGAP32,0,1,0,0,-1,
BRCA,ARHGEF2,0,0,0,0,1,
BRCA,ATP8B1,0,0,0,0,-1,"hsa-miR-140-3p,hsa-miR-181b-5p"
BRCA,BMP4,0,0,0,0,-1,
BRCA,C3orf14,0,0,0,0,-1,
BRCA,CHST3,0,0,0,0,1,
BRCA,CPEB4,0,0,0,0,1,
BRCA,DIO1,0,0,0,0,-1,
BRCA,HDAC11,0,0,0,0,-1,
BRCA,HOXB4,0,0,0,0,1,
BRCA,KAT6B,1,1,0,0,-1,
BRCA,KCNJ11,0,0,0,0,-1,
BRCA,LDHD,0,0,0,0,1,"hsa-miR-106a-5p,hsa-miR-17-5p"
BRCA,LEFTY2,0,0,0,0,1,
BRCA,LIMD1,0,0,0,0,-1,
BRCA,MBIP,0,0,0,0,1,
BRCA,MGAT4A,0,0,0,0,-1,
BRCA,RIN2,0,0,0,0,1,hsa-miR-200c-3p
BRCA,SCOC,0,0,0,0,-1,
BRCA,SCUBE2,0,0,0,0,1,
BRCA,SDHAF3,0,0,0,0,1,
BRCA,SETD9,0,0,0,0,1,
BRCA,SPDEF,0,0,0,0,-1,
BRCA,STC2,0,0,0,0,-1,
BRCA,TFAP2B,0,0,0,0,1,
BRCA,TFCP2,0,0,0,0,1,
BRCA,TGFBR3,0,1,0,0,1,
BRCA,TRAK1,0,1,0,0,1,hsa-miR-155-5p
BRCA,XKR6,0,0,0,0,1,
BRCA,ZNF135,0,0,0,0,1,
BRCA,ZSCAN18,0,0,0,0,1,
