gene,transcript,score,pvalue,qvalue,info
CDH1,ENST00000261769,0.0210,0.8248,0.9915,oncogene
MAP3K1,ENST00000399503,0.0460,0.4523,0.9116,oncogene
KMT2C,ENST00000262189,0.0110,0.9554,0.9915,oncogene
PIK3CA,ENST00000263967,0.9190,0.0000,0.0000,oncogene
PTEN,ENST00000371953,0.0710,0.2297,0.8238,oncogene
TP53,ENST00000269305,0.0900,0.1362,0.7844,oncogene
NCOR1,ENST00000268712,0.0520,0.3848,0.8906,oncogene
ARID1A,ENST00000324856,0.0180,0.8802,0.9915,oncogene
AKT1,ENST00000554581,0.8800,0.0000,0.0000,oncogene
ERBB2,ENST00000269571,0.8680,0.0000,0.0000,oncogene
RUNX1,ENST00000300305,0.0750,0.2058,0.8136,oncogene
NF1,ENST00000358273,0.0310,0.6674,0.9678,oncogene
BRCA1,ENST00000471181,0.0470,0.4402,0.9089,oncogene
KRAS,ENST00000256078,0.8370,0.0000,0.0000,oncogene
RB1,ENST00000267163,0.0640,0.2775,0.8466,oncogene
MLLT4,ENST00000392108,0.0600,0.3094,0.8552,oncogene
CUL7,ENST00000535468,0.0570,0.3359,0.8729,oncogene
MAP2K4,ENST00000353533,0.0360,0.5891,0.9622,oncogene
USP9X,ENST00000324545,0.0330,0.6356,0.9622,oncogene
EP300,ENST00000263253,0.0400,0.5313,0.9386,oncogene
SF3B1,ENST00000335508,0.6710,0.0000,0.0000,oncogene
CHD1L,ENST00000369258,0.0100,0.9554,0.9915,oncogene
MGAT5B,ENST00000428789,0.0200,0.8387,0.9915,oncogene
GATA3,ENST00000379328,0.1880,0.0080,0.7642,oncogene
DAB1,ENST00000371236,0.0750,0.2058,0.8136,oncogene
SMARCA1,ENST00000371122,0.0790,0.1845,0.8070,oncogene
TRAF3,ENST00000560371,0.0730,0.2174,0.8182,oncogene
JAK1,ENST00000342505,0.0270,0.7324,0.9779,oncogene
GLDC,ENST00000321612,0.0190,0.8531,0.9915,oncogene
NIPBL,ENST00000282516,0.0260,0.7484,0.9803,oncogene
FANCD2,ENST00000287647,0.0480,0.4281,0.9036,oncogene
ATM,ENST00000278616,0.0770,0.1944,0.8073,oncogene
ZMYM3,ENST00000353904,0.0320,0.6512,0.9623,oncogene
BRCA2,ENST00000544455,0.0430,0.4905,0.9226,oncogene
KMT2A,ENST00000534358,0.0610,0.3012,0.8537,oncogene
SMURF2,ENST00000262435,0.0990,0.1062,0.7724,oncogene
SPEN,ENST00000375759,0.0400,0.5313,0.9386,oncogene
TBL1XR1,ENST00000430069,0.0380,0.5601,0.9459,oncogene
NUP205,ENST00000285968,0.0400,0.5313,0.9386,oncogene
MYB,ENST00000341911,0.0440,0.4778,0.9226,oncogene
MED23,ENST00000368068,0.0870,0.1482,0.7928,oncogene
BAP1,ENST00000460680,0.0480,0.4281,0.9036,oncogene
SMG1,ENST00000446231,0.0390,0.5601,0.9459,oncogene
CASP8,ENST00000358485,0.0810,0.1746,0.8055,oncogene
UBAP2,ENST00000379238,0.0510,0.3954,0.8950,oncogene
CTCF,ENST00000264010,0.0360,0.6045,0.9622,oncogene
JUN,ENST00000371222,0.1010,0.1006,0.7686,oncogene
SIK3,ENST00000292055,0.0500,0.4064,0.9006,oncogene
NCOA6,ENST00000374796,0.0790,0.1845,0.8070,oncogene
NFKB2,ENST00000369966,0.0370,0.5891,0.9622,oncogene
TRAPPC10,ENST00000291574,0.0480,0.4281,0.9036,oncogene
PLK2,ENST00000274289,0.0630,0.2853,0.8466,oncogene
KDM6A,ENST00000377967,0.0920,0.1289,0.7832,oncogene
RAPGEF2,ENST00000264431,0.0710,0.2297,0.8238,oncogene
DHX30,ENST00000445061,0.0430,0.4905,0.9226,oncogene
IGSF1,ENST00000370903,0.0350,0.6201,0.9622,oncogene
TUBGCP2,ENST00000543663,0.6070,0.0000,0.0000,oncogene
GPS2,ENST00000380728,0.0500,0.4064,0.9006,oncogene
CDKN1B,ENST00000228872,0.0520,0.3848,0.8906,oncogene
RB1CC1,ENST00000025008,0.0980,0.1126,0.7766,oncogene
DCTN1,ENST00000361874,0.0900,0.1362,0.7844,oncogene
ANKRD12,ENST00000262126,0.0430,0.4905,0.9226,oncogene
ARHGAP29,ENST00000260526,0.0360,0.6045,0.9622,oncogene
JMJD1C,ENST00000399262,0.0270,0.7324,0.9779,oncogene
MEN1,ENST00000337652,0.1640,0.0165,0.7642,oncogene
MAP3K4,ENST00000392142,0.0780,0.1896,0.8070,oncogene
REV1,ENST00000258428,0.0740,0.2115,0.8182,oncogene
GIGYF2,ENST00000409451,0.0410,0.5174,0.9316,oncogene
RHOBTB3,ENST00000379982,0.0660,0.2628,0.8440,oncogene
COIL,ENST00000240316,0.1420,0.0315,0.7642,oncogene
STAT4,ENST00000392320,0.0330,0.6512,0.9623,oncogene
LZTR1,ENST00000215739,0.0880,0.1482,0.7928,oncogene
LUC7L2,ENST00000541515,0.0480,0.4281,0.9036,oncogene
DAZAP1,ENST00000233078,0.0630,0.2853,0.8466,oncogene
CHD4,ENST00000357008,0.3910,0.0000,0.0000,oncogene
FOXA1,ENST00000250448,0.4380,0.0000,0.0000,oncogene
NRIP1,ENST00000400202,0.0440,0.4905,0.9226,oncogene
SMAD4,ENST00000342988,0.0500,0.4064,0.9006,oncogene
TRAF5,ENST00000261464,0.0710,0.2297,0.8238,oncogene
ATF7IP,ENST00000261168,0.0600,0.3094,0.8552,oncogene
TNK2,ENST00000381916,0.0760,0.2000,0.8101,oncogene
NAMPT,ENST00000222553,0.0460,0.4523,0.9116,oncogene
PAXIP1,ENST00000404141,0.1950,0.0067,0.7642,oncogene
ZFP36L1,ENST00000439696,0.0670,0.2557,0.8415,oncogene
ANKHD1,ENST00000297183,0.0470,0.4402,0.9089,oncogene
OPA1,ENST00000361908,0.0810,0.1746,0.8055,oncogene
DBN1,ENST00000292385,0.0690,0.2423,0.8395,oncogene
SEC23B,ENST00000336714,0.0720,0.2234,0.8238,oncogene
CCAR1,ENST00000265872,0.0550,0.3549,0.8823,oncogene
ESR1,ENST00000440973,0.1180,0.0642,0.7684,oncogene
FOXP1,ENST00000491238,0.0640,0.2775,0.8466,oncogene
KPNA3,ENST00000261667,0.0530,0.3743,0.8851,oncogene
GLI3,ENST00000395925,0.0760,0.2000,0.8101,oncogene
LRCH3,ENST00000334859,0.0600,0.3094,0.8552,oncogene
RABEP1,ENST00000262477,0.0860,0.1524,0.7928,oncogene
KMT2D,ENST00000301067,0.0380,0.5601,0.9459,oncogene
ZNF207,ENST00000394670,0.0330,0.6356,0.9622,oncogene
VCL,ENST00000211998,0.0700,0.2363,0.8374,oncogene
MAPK10,ENST00000359221,0.0670,0.2557,0.8415,oncogene
EIF4ENIF1,ENST00000397525,0.0450,0.4647,0.9143,oncogene
PNN,ENST00000216832,0.0300,0.6834,0.9710,oncogene
ZBTB10,ENST00000430430,0.0340,0.6201,0.9622,oncogene
RGS3,ENST00000374140,0.0370,0.5891,0.9622,oncogene
ECT2,ENST00000392692,0.0830,0.1653,0.8000,oncogene
BRE,ENST00000344773,0.0470,0.4402,0.9089,oncogene
KIF23,ENST00000260363,0.1490,0.0256,0.7642,oncogene
HNRNPDL,ENST00000295470,0.0500,0.4171,0.9012,oncogene
EPHB3,ENST00000330394,0.0330,0.6356,0.9622,oncogene
DYRK1A,ENST00000398960,0.0700,0.2423,0.8395,oncogene
UHRF2,ENST00000276893,0.1080,0.0827,0.7685,oncogene
MRPL46,ENST00000312475,0.0450,0.4647,0.9143,oncogene
RIC8A,ENST00000325207,0.0420,0.5174,0.9316,oncogene
NR4A2,ENST00000339562,0.0520,0.3848,0.8906,oncogene
RARG,ENST00000425354,0.0390,0.5457,0.9424,oncogene
DENND4A,ENST00000443035,0.0490,0.4171,0.9012,oncogene
WWP1,ENST00000517970,0.0910,0.1326,0.7832,oncogene
ZNF512,ENST00000355467,0.0400,0.5313,0.9386,oncogene
LIFR,ENST00000263409,0.0660,0.2628,0.8440,oncogene
ARVCF,ENST00000263207,0.0740,0.2174,0.8182,oncogene
FBXW7,ENST00000281708,0.1860,0.0087,0.7642,oncogene
HERC5,ENST00000264350,0.0630,0.2853,0.8466,oncogene
MBD6,ENST00000355673,0.0320,0.6512,0.9623,oncogene
TRAF7,ENST00000326181,0.0430,0.4905,0.9226,oncogene
SREBF1,ENST00000355815,0.0590,0.3266,0.8657,oncogene
GYG1,ENST00000345003,0.0470,0.4402,0.9089,oncogene
LRRK2,ENST00000298910,0.1310,0.0435,0.7642,oncogene
ZXDB,ENST00000374888,0.0390,0.5457,0.9424,oncogene
MCRS1,ENST00000357123,0.0670,0.2557,0.8415,oncogene
A2M,ENST00000318602,0.1640,0.0165,0.7642,oncogene
ACAN,ENST00000439576,0.0470,0.4402,0.9089,oncogene
PICALM,ENST00000393346,0.0730,0.2174,0.8182,oncogene
SLC4A7,ENST00000295736,0.0870,0.1482,0.7928,oncogene
SRCAP,ENST00000262518,0.0570,0.3359,0.8729,oncogene
ESCO1,ENST00000269214,0.0370,0.5891,0.9622,oncogene
HSP90B1,ENST00000299767,0.1050,0.0895,0.7686,oncogene
KMT2B,ENST00000222270,0.0450,0.4647,0.9143,oncogene
MED12,ENST00000374080,0.0760,0.2000,0.8101,oncogene
ARHGEF7,ENST00000375741,0.0380,0.5601,0.9459,oncogene
TRAPPC8,ENST00000283351,0.0480,0.4281,0.9036,oncogene
WHSC1L1,ENST00000317025,0.0480,0.4281,0.9036,oncogene
CTPS2,ENST00000443824,0.0920,0.1289,0.7832,oncogene
PHC2,ENST00000257118,0.3730,0.0000,0.0111,oncogene
PARP2,ENST00000250416,0.0540,0.3643,0.8848,oncogene
UGGT2,ENST00000376747,0.0750,0.2058,0.8136,oncogene
EP400,ENST00000389561,0.0750,0.2058,0.8136,oncogene
LARP4B,ENST00000316157,0.0190,0.8531,0.9915,oncogene
UVRAG,ENST00000356136,0.0400,0.5313,0.9386,oncogene
GNAS,ENST00000371100,0.0830,0.1653,0.8000,oncogene
DHX36,ENST00000496811,0.0840,0.1611,0.8000,oncogene
ASH1L,ENST00000392403,0.0200,0.8387,0.9915,oncogene
FCHO1,ENST00000594202,0.0450,0.4647,0.9143,oncogene
DLG1,ENST00000346964,0.1010,0.1033,0.7703,oncogene
UGT8,ENST00000310836,0.0960,0.1157,0.7795,oncogene
HSPD1,ENST00000388968,0.1170,0.0642,0.7684,oncogene
IQGAP1,ENST00000268182,0.1090,0.0805,0.7685,oncogene
TRPS1,ENST00000395715,0.0770,0.1944,0.8073,oncogene
BMPR1B,ENST00000440890,0.1450,0.0289,0.7642,oncogene
PIK3R1,ENST00000521381,0.2170,0.0038,0.7642,oncogene
SOX9,ENST00000245479,0.0580,0.3266,0.8657,oncogene
NARS,ENST00000256854,0.0510,0.3954,0.8950,oncogene
PPP2CA,ENST00000481195,0.1460,0.0280,0.7642,oncogene
ZNF292,ENST00000369577,0.0460,0.4523,0.9116,oncogene
SF3B4,ENST00000271628,0.1710,0.0134,0.7642,oncogene
TBX3,ENST00000257566,0.1660,0.0156,0.7642,oncogene
SP3,ENST00000310015,0.0950,0.1189,0.7803,oncogene
USP13,ENST00000263966,0.0640,0.2775,0.8466,oncogene
SETD2,ENST00000409792,0.0680,0.2491,0.8415,oncogene
PKN2,ENST00000370521,0.3390,0.0001,0.1000,oncogene
PRKAR1A,ENST00000589228,0.0790,0.1845,0.8070,oncogene
DDX5,ENST00000225792,0.0650,0.2699,0.8441,oncogene
CDKN1A,ENST00000405375,0.0710,0.2297,0.8238,oncogene
EPS8,ENST00000281172,0.0370,0.5746,0.9622,oncogene
MYH9,ENST00000216181,0.2090,0.0046,0.7642,oncogene
DSC3,ENST00000360428,0.0510,0.3954,0.8950,oncogene
CHERP,ENST00000546361,0.1020,0.0979,0.7686,oncogene
NUFIP2,ENST00000225388,0.0540,0.3743,0.8851,oncogene
EPN2,ENST00000314728,0.0540,0.3643,0.8848,oncogene
ABL1,ENST00000372348,0.1230,0.0558,0.7642,oncogene
PLEKHH3,ENST00000591022,0.0670,0.2557,0.8415,oncogene
TEAD1,ENST00000361985,0.0550,0.3643,0.8848,oncogene
BMPR2,ENST00000374580,0.0790,0.1845,0.8070,oncogene
SYN1,ENST00000295987,0.0620,0.2928,0.8503,oncogene
DLGAP2,ENST00000421627,0.0540,0.3643,0.8848,oncogene
TBC1D4,ENST00000377636,0.0700,0.2363,0.8374,oncogene
PABPC3,ENST00000281589,0.0580,0.3266,0.8657,oncogene
ABCA10,ENST00000269081,0.0730,0.2174,0.8182,oncogene
MMS19,ENST00000438925,0.1290,0.0460,0.7642,oncogene
PEX6,ENST00000304611,0.0820,0.1698,0.8000,oncogene
FBXL2,ENST00000484457,0.0480,0.4281,0.9036,oncogene
ARFGAP3,ENST00000263245,0.0400,0.5313,0.9386,oncogene
CLTC,ENST00000269122,0.1140,0.0717,0.7685,oncogene
ATXN3,ENST00000393287,0.3250,0.0001,0.1909,oncogene
ADSS,ENST00000366535,0.0420,0.5037,0.9316,oncogene
IL2RB,ENST00000216223,0.0300,0.6834,0.9710,oncogene
SH3GL3,ENST00000427482,0.0750,0.2058,0.8136,oncogene
FAM188A,ENST00000277632,0.0770,0.1944,0.8073,oncogene
EIF4A2,ENST00000323963,0.1870,0.0083,0.7642,oncogene
CHML,ENST00000366553,0.0310,0.6674,0.9678,oncogene
NCOR2,ENST00000405201,0.0930,0.1289,0.7832,oncogene
ZBTB26,ENST00000373656,0.0380,0.5601,0.9459,oncogene
RBM12,ENST00000374114,0.0470,0.4402,0.9089,oncogene
ZFYVE16,ENST00000338008,0.0420,0.5037,0.9316,oncogene
RPS6KA3,ENST00000379565,0.0650,0.2699,0.8441,oncogene
ZMYM5,ENST00000382905,0.0360,0.6045,0.9622,oncogene
DOCK7,ENST00000340370,0.1260,0.0500,0.7642,oncogene
NMT1,ENST00000592782,0.0370,0.5746,0.9622,oncogene
CPEB1,ENST00000568128,0.0270,0.7324,0.9779,oncogene
COPB2,ENST00000333188,0.0750,0.2058,0.8136,oncogene
ARID2,ENST00000334344,0.0240,0.7792,0.9843,oncogene
BAZ1B,ENST00000339594,0.0500,0.4064,0.9006,oncogene
PTPRK,ENST00000368213,0.1070,0.0873,0.7685,oncogene
MAP3K6,ENST00000493901,0.0520,0.3848,0.8906,oncogene
ERBB3,ENST00000267101,0.2980,0.0005,0.4529,oncogene
KLHL12,ENST00000367261,0.1870,0.0083,0.7642,oncogene
CBFB,ENST00000412916,0.0680,0.2491,0.8415,oncogene
PRKDC,ENST00000314191,0.2770,0.0009,0.5667,oncogene
MID2,ENST00000262843,0.1050,0.0922,0.7686,oncogene
RGS4,ENST00000421743,0.0440,0.4778,0.9226,oncogene
PSMD1,ENST00000308696,0.1160,0.0659,0.7685,oncogene
LYPD3,ENST00000244333,0.0780,0.1896,0.8070,oncogene
KIF5B,ENST00000302418,0.0670,0.2557,0.8415,oncogene
BCOR,ENST00000378444,0.0640,0.2775,0.8466,oncogene
NUP93,ENST00000308159,0.3210,0.0002,0.1917,oncogene
FN1,ENST00000354785,0.1160,0.0659,0.7685,oncogene
NHSL1,ENST00000427025,0.0130,0.9269,0.9915,oncogene
NLRP3,ENST00000336119,0.0280,0.7158,0.9744,oncogene
LATS1,ENST00000543571,0.0840,0.1653,0.8000,oncogene
TIA1,ENST00000433529,0.0280,0.7158,0.9744,oncogene
INADL,ENST00000371158,0.0940,0.1219,0.7803,oncogene
SPG11,ENST00000261866,0.0300,0.6834,0.9710,oncogene
FOXP4,ENST00000373060,0.0480,0.4281,0.9036,oncogene
CEP128,ENST00000555265,0.0370,0.5891,0.9622,oncogene
NPEPPS,ENST00000322157,0.2950,0.0005,0.4529,oncogene
TADA2A,ENST00000394395,0.0780,0.1896,0.8070,oncogene
ZC3H4,ENST00000253048,0.0500,0.4064,0.9006,oncogene
PPM1D,ENST00000305921,0.0570,0.3359,0.8729,oncogene
PPARG,ENST00000287820,0.3060,0.0003,0.3500,oncogene
UTRN,ENST00000367545,0.0700,0.2363,0.8374,oncogene
RAI1,ENST00000353383,0.0280,0.7158,0.9744,oncogene
STK17B,ENST00000263955,0.0250,0.7635,0.9824,oncogene
MTPAP,ENST00000263063,0.0260,0.7484,0.9803,oncogene
FARP2,ENST00000264042,0.0370,0.5891,0.9622,oncogene
MAPK8,ENST00000374189,0.1060,0.0873,0.7685,oncogene
AMBRA1,ENST00000314845,0.0590,0.3266,0.8657,oncogene
ACTN2,ENST00000366578,0.1140,0.0697,0.7685,oncogene
RASIP1,ENST00000222145,0.0480,0.4281,0.9036,oncogene
VAV3,ENST00000370056,0.0590,0.3266,0.8657,oncogene
ZFHX3,ENST00000268489,0.0690,0.2491,0.8415,oncogene
CLOCK,ENST00000309964,0.0680,0.2491,0.8415,oncogene
INTS4,ENST00000534064,0.0420,0.5037,0.9316,oncogene
MYBL1,ENST00000522677,0.0530,0.3743,0.8851,oncogene
MCM7,ENST00000303887,0.0670,0.2557,0.8415,oncogene
BTBD1,ENST00000261721,0.2950,0.0005,0.4529,oncogene
DIMT1,ENST00000199320,0.0990,0.1062,0.7724,oncogene
EEF1A1,ENST00000316292,0.1530,0.0228,0.7642,oncogene
PPP2R5C,ENST00000422945,0.0930,0.1289,0.7832,oncogene
CNOT1,ENST00000317147,0.1030,0.0952,0.7686,oncogene
STAB2,ENST00000388887,0.0510,0.3954,0.8950,oncogene
DST,ENST00000244364,0.0600,0.3094,0.8552,oncogene
SLC16A2,ENST00000587091,0.0630,0.2853,0.8466,oncogene
CCDC146,ENST00000285871,0.0960,0.1157,0.7795,oncogene
TFR2,ENST00000462107,0.0430,0.4905,0.9226,oncogene
TERT,ENST00000310581,0.0780,0.1896,0.8070,oncogene
RAD54L2,ENST00000409535,0.0380,0.5601,0.9459,oncogene
SRGAP2,ENST00000295713,0.0420,0.5037,0.9316,oncogene
NPAT,ENST00000278612,0.0550,0.3549,0.8823,oncogene
ARHGAP5,ENST00000345122,0.0410,0.5174,0.9316,oncogene
RBM41,ENST00000372479,0.0740,0.2115,0.8182,oncogene
ACTL6B,ENST00000160382,0.0420,0.5174,0.9316,oncogene
ZMYM2,ENST00000382869,0.1560,0.0210,0.7642,oncogene
TXNDC16,ENST00000281741,0.0560,0.3454,0.8729,oncogene
SRRM2,ENST00000301740,0.1390,0.0354,0.7642,oncogene
HDAC1,ENST00000373548,0.1490,0.0256,0.7642,oncogene
KPNB1,ENST00000290158,0.2880,0.0007,0.5600,oncogene
CYFIP2,ENST00000521420,0.0750,0.2058,0.8136,oncogene
LARP7,ENST00000509061,0.0940,0.1219,0.7803,oncogene
ACE2,ENST00000427411,0.0630,0.2853,0.8466,oncogene
KCNJ3,ENST00000295101,0.0830,0.1698,0.8000,oncogene
FAM21A,ENST00000282633,0.0610,0.3012,0.8537,oncogene
PPEF2,ENST00000286719,0.0070,0.9762,0.9915,oncogene
HACE1,ENST00000262903,0.1420,0.0315,0.7642,oncogene
SMARCA4,ENST00000429416,0.1060,0.0873,0.7685,oncogene
SPZ1,ENST00000296739,0.0340,0.6356,0.9622,oncogene
LATS2,ENST00000382592,0.0980,0.1094,0.7750,oncogene
ARFGAP1,ENST00000353546,0.0580,0.3266,0.8657,oncogene
MAP1B,ENST00000296755,0.0570,0.3359,0.8729,oncogene
PKD2L1,ENST00000318222,0.0370,0.5746,0.9622,oncogene
ATIC,ENST00000236959,0.1080,0.0827,0.7685,oncogene
EPAS1,ENST00000263734,0.1010,0.1006,0.7686,oncogene
GNPTAB,ENST00000299314,0.0680,0.2491,0.8415,oncogene
BIRC6,ENST00000421745,0.2470,0.0018,0.7642,oncogene
TSGA10,ENST00000393483,0.0500,0.4064,0.9006,oncogene
KIFC3,ENST00000379655,0.1660,0.0160,0.7642,oncogene
SQSTM1,ENST00000389805,0.1180,0.0642,0.7684,oncogene
ARHGAP10,ENST00000336498,0.0590,0.3266,0.8657,oncogene
CAD,ENST00000264705,0.2120,0.0043,0.7642,oncogene
CCDC18,ENST00000370276,0.0820,0.1698,0.8000,oncogene
SIAH1,ENST00000356721,0.0860,0.1524,0.7928,oncogene
GPATCH4,ENST00000438976,0.0480,0.4281,0.9036,oncogene
ZMYM4,ENST00000314607,0.0700,0.2363,0.8374,oncogene
SRSF11,ENST00000370950,0.0840,0.1611,0.8000,oncogene
CALCR,ENST00000359558,0.0690,0.2423,0.8395,oncogene
FAN1,ENST00000362065,0.0710,0.2297,0.8238,oncogene
PLCG2,ENST00000359376,0.0910,0.1326,0.7832,oncogene
GORASP2,ENST00000234160,0.1430,0.0307,0.7642,oncogene
DHX29,ENST00000251636,0.0490,0.4171,0.9012,oncogene
DIAPH1,ENST00000398557,0.1260,0.0500,0.7642,oncogene
LRRK1,ENST00000388948,0.1050,0.0895,0.7686,oncogene
PCF11,ENST00000298281,0.0680,0.2557,0.8415,oncogene
MPZL1,ENST00000359523,0.0300,0.6834,0.9710,oncogene
LPA,ENST00000447678,0.0660,0.2628,0.8440,oncogene
SPTAN1,ENST00000372739,0.2470,0.0018,0.7642,oncogene
MAP3K5,ENST00000359015,0.1550,0.0222,0.7642,oncogene
DYX1C1,ENST00000321149,0.0560,0.3454,0.8729,oncogene
SRPK2,ENST00000393651,0.1900,0.0076,0.7642,oncogene
INTS6,ENST00000311234,0.3160,0.0002,0.2462,oncogene
CENPF,ENST00000366955,0.0510,0.3954,0.8950,oncogene
SERPINE1,ENST00000223095,0.0840,0.1653,0.8000,oncogene
ATP2B2,ENST00000360273,0.2920,0.0006,0.4778,oncogene
MAP3K13,ENST00000265026,0.0460,0.4523,0.9116,oncogene
USP15,ENST00000280377,0.1220,0.0558,0.7642,oncogene
TUBA1B,ENST00000336023,0.0580,0.3266,0.8657,oncogene
CACNA1A,ENST00000360228,0.2130,0.0042,0.7642,oncogene
CREBBP,ENST00000262367,0.1640,0.0165,0.7642,oncogene
CBFA2T2,ENST00000346541,0.1390,0.0345,0.7642,oncogene
C7orf72,ENST00000297001,0.0650,0.2699,0.8441,oncogene
SEMA3F,ENST00000002829,0.0490,0.4171,0.9012,oncogene
UACA,ENST00000322954,0.0420,0.5037,0.9316,oncogene
COPG1,ENST00000314797,0.0870,0.1482,0.7928,oncogene
NT5DC3,ENST00000392876,0.0350,0.6201,0.9622,oncogene
SIN3B,ENST00000379803,0.1870,0.0083,0.7642,oncogene
DDB1,ENST00000301764,0.1720,0.0129,0.7642,oncogene
VCP,ENST00000358901,0.1000,0.1033,0.7703,oncogene
CCDC88C,ENST00000389857,0.0680,0.2557,0.8415,oncogene
TJP1,ENST00000346128,0.1370,0.0365,0.7642,oncogene
BCHE,ENST00000264381,0.0440,0.4905,0.9226,oncogene
IL1RAP,ENST00000317757,0.0600,0.3094,0.8552,oncogene
CALHM2,ENST00000260743,0.0480,0.4281,0.9036,oncogene
PI4KA,ENST00000255882,0.2860,0.0008,0.5600,oncogene
EXOC4,ENST00000253861,0.2830,0.0008,0.5667,oncogene
SIRT6,ENST00000337491,0.0690,0.2491,0.8415,oncogene
FLRT3,ENST00000378053,0.0350,0.6201,0.9622,oncogene
HSPA8,ENST00000534624,0.1950,0.0067,0.7642,oncogene
DEPDC7,ENST00000241051,0.0330,0.6356,0.9622,oncogene
DMD,ENST00000357033,0.0880,0.1482,0.7928,oncogene
MYO9B,ENST00000595618,0.0920,0.1289,0.7832,oncogene
RECK,ENST00000377966,0.0460,0.4523,0.9116,oncogene
CDK11B,ENST00000407249,0.0850,0.1566,0.8000,oncogene
PIAS2,ENST00000585916,0.1550,0.0216,0.7642,oncogene
MTOR,ENST00000361445,0.1310,0.0449,0.7642,oncogene
SETDB1,ENST00000271640,0.1660,0.0160,0.7642,oncogene
PIGO,ENST00000378617,0.0320,0.6512,0.9623,oncogene
FAF1,ENST00000396153,0.0890,0.1442,0.7928,oncogene
USP12,ENST00000282344,0.2600,0.0014,0.7103,oncogene
SARS,ENST00000234677,0.1230,0.0558,0.7642,oncogene
CUL4B,ENST00000404115,0.2170,0.0038,0.7642,oncogene
KCTD3,ENST00000259154,0.0480,0.4281,0.9036,oncogene
EGFR,ENST00000275493,0.2690,0.0011,0.6481,oncogene
ORC2,ENST00000234296,0.1110,0.0760,0.7685,oncogene
OTX2,ENST00000339475,0.0720,0.2297,0.8238,oncogene
CEP120,ENST00000306467,0.0660,0.2628,0.8440,oncogene
BCO2,ENST00000357685,0.0380,0.5601,0.9459,oncogene
IARS,ENST00000375643,0.1370,0.0365,0.7642,oncogene
TFIP11,ENST00000407690,0.1110,0.0782,0.7685,oncogene
THOC2,ENST00000245838,0.0510,0.3954,0.8950,oncogene
EPHA3,ENST00000336596,0.0870,0.1482,0.7928,oncogene
NOTCH2,ENST00000256646,0.0830,0.1653,0.8000,oncogene
RASA2,ENST00000286364,0.0410,0.5174,0.9316,oncogene
HERC1,ENST00000443617,0.0950,0.1189,0.7803,oncogene
MTUS2,ENST00000431530,0.1720,0.0129,0.7642,oncogene
GSE1,ENST00000253458,0.1200,0.0589,0.7654,oncogene
PLP2,ENST00000376327,0.2800,0.0009,0.5667,oncogene
UBC,ENST00000536769,0.1130,0.0740,0.7685,oncogene
MYOF,ENST00000359263,0.0550,0.3549,0.8823,oncogene
CUX1,ENST00000360264,0.0650,0.2775,0.8466,oncogene
TBX19,ENST00000367821,0.0420,0.5037,0.9316,oncogene
SYNM,ENST00000336292,0.0300,0.6834,0.9710,oncogene
RPGRIP1,ENST00000400017,0.1660,0.0156,0.7642,oncogene
LMNA,ENST00000368300,0.1680,0.0147,0.7642,oncogene
SAV1,ENST00000324679,0.0670,0.2557,0.8415,oncogene
IQUB,ENST00000466202,0.0560,0.3454,0.8729,oncogene
SPRED2,ENST00000356388,0.0800,0.1794,0.8055,oncogene
AR,ENST00000374690,0.1350,0.0388,0.7642,oncogene
PDCD6IP,ENST00000457054,0.1650,0.0160,0.7642,oncogene
PUM1,ENST00000426105,0.0570,0.3454,0.8729,oncogene
CUL2,ENST00000537177,0.1280,0.0473,0.7642,oncogene
APC,ENST00000457016,0.1960,0.0065,0.7642,oncogene
FLNC,ENST00000325888,0.2660,0.0012,0.6481,oncogene
GRIN2A,ENST00000396573,0.0830,0.1653,0.8000,oncogene
ATP1A1,ENST00000537345,0.0980,0.1126,0.7766,oncogene
DNMT3A,ENST00000264709,0.1270,0.0486,0.7642,oncogene
SHMT2,ENST00000328923,0.0950,0.1189,0.7803,oncogene
E2F1,ENST00000343380,0.1650,0.0165,0.7642,oncogene
ACBD5,ENST00000396271,0.0350,0.6045,0.9622,oncogene
OSBPL8,ENST00000261183,0.0840,0.1653,0.8000,oncogene
LYN,ENST00000519728,0.1460,0.0280,0.7642,oncogene
HUWE1,ENST00000342160,0.2080,0.0048,0.7642,oncogene
PCLO,ENST00000333891,0.0800,0.1794,0.8055,oncogene
TRAPPC9,ENST00000389328,0.0790,0.1845,0.8070,oncogene
SIN3A,ENST00000394947,0.1020,0.0979,0.7686,oncogene
DNM1L,ENST00000549701,0.0720,0.2297,0.8238,oncogene
ACTN4,ENST00000252699,0.1280,0.0473,0.7642,oncogene
CHAF1A,ENST00000301280,0.0980,0.1094,0.7750,oncogene
RPN2,ENST00000237530,0.0430,0.4905,0.9226,oncogene
PYGM,ENST00000164139,0.0500,0.4064,0.9006,oncogene
THRAP3,ENST00000354618,0.2610,0.0014,0.7071,oncogene
ITCH,ENST00000262650,0.2320,0.0025,0.7642,oncogene
CHD3,ENST00000380358,0.1290,0.0460,0.7642,oncogene
NTRK2,ENST00000376214,0.0580,0.3266,0.8657,oncogene
INHBA,ENST00000242208,0.0700,0.2363,0.8374,oncogene
MAGED1,ENST00000375695,0.1410,0.0325,0.7642,oncogene
ARID4B,ENST00000264183,0.0790,0.1845,0.8070,oncogene
PSPC1,ENST00000338910,0.0600,0.3094,0.8552,oncogene
