cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,CHRFAM7A,GH2,1.59,6.98E-07,1.45,7.74E-05,1.549,0.611,0.938
STAD,CHRFAM7A,LCE2B,1.52,0.0117,1.46,0.00259,1.716,0.621,1.096
STAD,CHRFAM7A,PRDM14,1.52,5.45E-06,1.16,0.0025,1.286,0.697,0.589
STAD,CHRFAM7A,TFAP2B,1.52,4.92E-06,1.17,0.00228,1.281,0.684,0.596
STAD,CLCF1,LCE2B,1.55,0.0245,1.42,0.00737,1.642,0.508,1.134
STAD,CLDN11,GPRC6A,1.51,2.72E-06,1.18,0.00263,1.166,0.479,0.687
STAD,CLDN11,LCE2B,1.59,0.00668,1.46,0.0103,1.525,0.468,1.058
STAD,CLDN11,PRR9,1.53,4.82E-05,1.19,0.00135,1.386,0.61,0.776
STAD,CLDN6,GH2,1.56,4.67E-07,1.4,0.000338,1.308,0.453,0.855
STAD,CLDN6,LCE2B,1.53,0.00238,1.45,0.00653,1.491,0.529,0.963
STAD,CLDN9,GH2,1.52,1.71E-06,1.4,9.13E-05,1.495,0.6,0.895
STAD,CLGN,LBP,1.54,3.25E-07,1.23,0.00315,1.116,0.661,0.456
STAD,CLGN,PRR9,1.51,1.51E-06,1.28,0.000351,1.418,0.725,0.694
STAD,CLMP,GABRA3,1.63,2.18E-07,1.31,0.000508,1.494,0.696,0.798
STAD,CLMP,LCE2B,1.64,0.0288,1.53,0.00337,1.806,0.598,1.208
STAD,CLMP,PASD1,1.57,1.15E-05,1.2,0.00288,1.285,0.641,0.644
STAD,CNGB3,LCE2B,1.58,0.00366,1.47,0.00833,1.518,0.497,1.021
STAD,CNGB3,LCE2D,1.59,0.00101,1.39,0.0084,1.356,0.497,0.859
STAD,CNTN1,CRCT1,1.57,2.42E-07,1.27,0.00123,1.283,0.739,0.544
STAD,CNTN1,LCE2B,1.5,0.0103,1.49,0.000857,1.83,0.724,1.107
STAD,CNTNAP1,LCE2B,2,0.0027,1.85,0.00187,1.869,0.655,1.214
STAD,CNTNAP1,LCE2D,1.64,0.00202,1.48,0.00234,1.588,0.63,0.958
STAD,COL10A1,LCE2B,1.53,0.015,1.41,0.00805,1.593,0.499,1.094
STAD,COL24A1,CRHR1,1.58,6.67E-09,1.4,0.000171,1.423,0.724,0.699
STAD,COL24A1,FAM9A,1.6,7.31E-07,1.31,0.001,1.282,0.756,0.526
STAD,COLEC11,CRCT1,1.55,2.77E-06,1.17,0.00472,1.203,0.617,0.586
STAD,COLEC11,LCE2B,1.61,0.00159,1.51,0.00725,1.507,0.516,0.991
STAD,COLEC11,LCE2D,1.53,0.00211,1.35,0.00588,1.419,0.537,0.882
STAD,COLEC11,LCN1,1.6,4.94E-07,1.25,0.00152,1.365,0.665,0.7
STAD,COLEC11,NFE4,1.57,5.95E-07,1.22,0.00396,1.173,0.569,0.603
STAD,COLGALT2,LCE2D,1.69,0.000389,1.48,0.00678,1.407,0.522,0.885
STAD,COLGALT2,SPANXB1,1.62,1.23E-05,1.27,0.00268,1.311,0.616,0.695
STAD,CPA6,NLGN4Y,1.6,6.41E-08,1.33,0.000367,1.437,0.808,0.628
STAD,CPEB1,CRYGC,1.51,0.000107,1.09,0.0243,0.948,0.463,0.484
STAD,CPT1C,LCE2B,1.64,0.00211,1.55,0.00485,1.59,0.56,1.03
STAD,CPVL,FAM25A,1.55,1.61E-05,1.18,0.00139,1.436,0.706,0.731
STAD,CPVL,LCE2B,1.67,0.00737,1.55,0.00526,1.663,0.549,1.115
STAD,CRABP2,LCE2D,1.69,0.000291,1.46,0.0114,1.304,0.456,0.848
STAD,CRCT1,DCLK2,1.53,1.70E-06,1.22,0.000558,1.471,0.661,0.81
STAD,CRCT1,FAM181B,1.57,3.74E-06,1.16,0.0115,1.063,0.544,0.519
STAD,CRCT1,FAT3,1.73,7.79E-09,1.46,5.84E-05,1.71,0.73,0.979
STAD,CRCT1,GH2,1.64,7.00E-07,1.44,0.000231,1.416,0.491,0.925
STAD,CRCT1,GPIHBP1,1.55,3.67E-06,1.17,0.00373,1.24,0.6,0.64
STAD,CRCT1,GPR173,1.59,1.40E-07,1.33,0.000124,1.609,0.686,0.923
STAD,CRCT1,HSPB6,1.51,2.90E-05,1.1,0.00595,1.217,0.619,0.598
STAD,CRCT1,LCE2B,1.52,0.0095,1.41,0.00794,1.54,0.5,1.04
STAD,CRCT1,NACAD,1.5,2.13E-06,1.2,0.000873,1.357,0.588,0.769
STAD,CRCT1,NECAB1,1.53,4.02E-06,1.16,0.00305,1.258,0.599,0.659
STAD,CRCT1,NPAS3,1.58,5.40E-07,1.27,0.000607,1.44,0.638,0.801
STAD,CRCT1,NTNG1,1.58,5.32E-07,1.27,0.000567,1.451,0.642,0.809
STAD,CRCT1,RIMS2,1.53,3.18E-06,1.17,0.00306,1.233,0.576,0.658
STAD,CRCT1,SGCE,1.51,2.73E-06,1.16,0.00372,1.176,0.539,0.637
STAD,CRCT1,SNCG,1.51,1.80E-06,1.2,0.00175,1.24,0.537,0.704
STAD,CRMP1,LCE2B,1.65,0.00578,1.58,0.00198,1.78,0.65,1.13
STAD,CRMP1,MYL10,1.52,1.70E-06,1.17,0.00351,1.184,0.654,0.53
STAD,CRMP1,SPANXB1,1.5,7.12E-05,1.21,0.000721,1.478,0.741,0.737
STAD,CRTAC1,KCTD1,1.54,1.96E-06,1.2,0.0018,1.322,0.721,0.601
STAD,CRYGC,CXCR4,1.62,5.55E-06,1.32,0.000663,1.44,0.622,0.819
STAD,CRYGC,DKK1,1.74,1.25E-06,1.36,0.00424,1.211,0.557,0.654
STAD,CRYGC,ELOVL2,1.81,2.89E-06,1.39,0.00435,1.303,0.639,0.664
STAD,CRYGC,FN1,1.53,0.00052,1.12,0.00581,1.287,0.649,0.637
STAD,CRYGC,GGT5,1.56,9.14E-05,1.2,0.00271,1.346,0.639,0.707
STAD,CRYGC,KCNN2,1.52,0.000211,1.11,0.011,1.13,0.568,0.562
STAD,CRYGC,KLHL30,1.52,0.000128,1.12,0.0117,1.087,0.537,0.55
STAD,CRYGC,LCE2B,1.57,0.0217,1.45,0.0113,1.507,0.478,1.029
STAD,CRYGC,LCE2D,1.89,0.000607,1.63,0.0117,1.334,0.474,0.86
STAD,CRYGC,MATN3,1.58,7.42E-06,1.28,0.00107,1.334,0.561,0.773
STAD,CRYGC,NPAS3,1.51,1.34E-05,1.2,0.00286,1.169,0.481,0.688
STAD,CRYGC,PCDH7,1.53,5.65E-05,1.19,0.00326,1.238,0.562,0.676
STAD,CRYGC,PNMA8A,1.53,9.47E-05,1.15,0.00561,1.204,0.575,0.629
STAD,CRYGC,PRL,1.56,1.43E-05,1.23,0.00285,1.208,0.519,0.689
STAD,CRYGC,RARA,1.55,0.000101,1.17,0.00558,1.206,0.576,0.629
STAD,CRYGC,RGS1,1.52,0.000105,1.16,0.00376,1.264,0.594,0.67
STAD,CRYGC,SNCG,1.53,0.000115,1.21,0.00119,1.392,0.624,0.768
STAD,CRYGC,SPX,1.51,3.29E-05,1.16,0.00556,1.124,0.497,0.627
STAD,CRYGC,TMEM88,1.62,5.58E-05,1.24,0.00443,1.266,0.613,0.653
STAD,CRYGC,ZFPM2,1.59,1.04E-05,1.27,0.00155,1.32,0.575,0.745
STAD,CSMD2,LCE2D,1.52,0.000551,1.45,0.000627,1.6,0.752,0.848
STAD,CST2,LCE2B,1.67,0.00772,1.54,0.00711,1.616,0.512,1.104
STAD,CST2,LCE2D,1.56,0.00524,1.35,0.00713,1.437,0.512,0.925
STAD,CST2,MAP7D2,1.54,5.73E-06,1.15,0.0051,1.206,0.585,0.621
STAD,CST6,MBOAT4,1.53,3.80E-06,1.18,0.00174,1.345,0.668,0.677
STAD,CST6,NCAM2,1.53,2.32E-06,1.18,0.00374,1.189,0.59,0.598
STAD,CTXND1,LCN1,1.6,6.90E-08,1.33,0.000247,1.518,0.814,0.704
STAD,CXCR4,LCE2B,1.72,0.00633,1.7,0.000422,2.007,0.786,1.221
STAD,CYP19A1,MAP7D2,1.55,3.18E-06,1.16,0.00699,1.13,0.549,0.581
STAD,CYTL1,LCE2B,1.76,7.95E-05,1.84,3.99E-05,1.97,0.952,1.018
STAD,CYTL1,PASD1,1.56,9.03E-08,1.4,1.53E-05,1.693,1.034,0.659
STAD,CYTL1,SPANXB1,1.55,3.59E-07,1.42,1.32E-05,1.718,1.019,0.699
STAD,DAO,LCE2B,1.79,0.00233,1.63,0.0093,1.57,0.48,1.09
STAD,DAO,LCE2D,1.56,0.00227,1.34,0.0108,1.339,0.462,0.878
STAD,DAZ2,GH2,1.73,1.20E-06,1.55,0.000107,1.515,0.578,0.937
STAD,DAZ2,PAPPA,1.51,5.80E-06,1.21,0.00151,1.251,0.595,0.657
STAD,DAZ2,TNMD,1.5,3.45E-06,1.21,0.00147,1.253,0.588,0.665
STAD,DCBLD2,TDO2,1.56,1.87E-07,1.25,0.0013,1.318,0.767,0.551
STAD,DCLK2,LCE2B,1.55,0.0288,1.53,0.000726,1.98,0.74,1.24
STAD,DCLK2,LCE2D,1.61,0.00315,1.49,0.000789,1.739,0.732,1.007
STAD,DCLK3,LCE2B,1.51,0.00612,1.39,0.00972,1.488,0.478,1.01
STAD,DCLK3,LCE2D,1.67,0.000219,1.45,0.0108,1.294,0.466,0.828
STAD,DCN,LCE2B,1.78,0.00239,1.62,0.00882,1.574,0.487,1.087
STAD,DCN,LCE2D,1.57,0.00788,1.35,0.00698,1.48,0.516,0.964
STAD,DDIT4L,LCE2D,1.89,3.90E-05,1.71,0.00142,1.605,0.682,0.924
STAD,DDO,IL1RL1,1.5,1.67E-06,1.19,0.00142,1.287,0.718,0.569
STAD,DDO,PF4V1,1.51,1.84E-06,1.19,0.00105,1.359,0.755,0.603
STAD,DDR2,LCE2B,1.93,0.0027,1.85,0.000616,1.986,0.753,1.233
STAD,DGKB,LCE2B,1.86,0.000651,1.7,0.00732,1.566,0.509,1.058
STAD,DGKB,LCE2D,1.52,0.00402,1.32,0.00718,1.404,0.511,0.893
STAD,DGKI,FAM9A,1.66,1.39E-06,1.32,0.00168,1.32,0.72,0.6
STAD,DGKI,PASD1,1.6,1.10E-06,1.28,0.00155,1.288,0.693,0.595
STAD,DIRC1,LCE2D,1.65,0.000501,1.51,0.0018,1.547,0.655,0.893
STAD,DIRC1,NKAIN4,1.55,2.20E-07,1.26,0.00152,1.237,0.652,0.585
STAD,DIRC1,PAPPA2,1.5,1.95E-06,1.18,0.00205,1.234,0.681,0.552
STAD,DIRC1,SPANXB1,1.51,4.04E-05,1.23,0.000721,1.429,0.732,0.697
STAD,DKK1,FHL5,1.59,3.23E-08,1.36,8.35E-05,1.622,0.742,0.88
STAD,DMD,PRAMEF18,1.57,1.48E-05,1.16,0.00845,1.115,0.542,0.573
STAD,DNAJC12,GABRA3,1.53,1.07E-06,1.22,0.00121,1.328,0.604,0.724
STAD,DNAJC12,KCTD1,1.52,6.92E-06,1.13,0.00463,1.237,0.634,0.603
STAD,DNAJC12,LCE2B,1.67,0.00683,1.56,0.00505,1.666,0.551,1.114
STAD,DNAJC12,LCE2D,1.77,0.000413,1.55,0.0056,1.451,0.54,0.911
STAD,DNAJC12,PASD1,1.58,6.07E-06,1.21,0.00388,1.227,0.608,0.619
STAD,DNAJC12,SPANXB1,1.54,3.04E-05,1.2,0.00359,1.226,0.577,0.649
STAD,DOCK3,LCE2D,2.07,7.30E-06,1.8,0.00401,1.48,0.577,0.903
STAD,DOCK3,PASD1,1.63,5.54E-07,1.27,0.00505,1.121,0.576,0.545
STAD,DPT,LCE2B,2.55,0.0011,2.2,0.00133,2.02,0.7,1.32
STAD,DPY19L2,LCE2B,1.99,0.00154,1.8,0.00493,1.712,0.556,1.156
STAD,DPYSL4,LCE2B,1.88,0.000445,1.74,0.00458,1.642,0.565,1.077
STAD,DPYSL4,LCE2D,1.53,0.00316,1.35,0.00438,1.482,0.57,0.913
STAD,DUSP1,GABRA3,1.5,4.22E-06,1.17,0.000972,1.423,0.636,0.787
STAD,DUSP1,LCE2B,1.95,0.00458,1.76,0.0061,1.727,0.536,1.191
STAD,DUSP1,MYL10,1.57,3.66E-06,1.15,0.00993,1.113,0.55,0.563
STAD,DYNC1I1,FAM9A,1.56,1.00E-06,1.31,0.000289,1.43,0.855,0.575
STAD,DYNC1I1,PASD1,1.53,7.04E-07,1.29,0.000284,1.398,0.831,0.567
STAD,DZIP1L,FAM9A,1.53,4.48E-05,1.14,0.00481,1.236,0.628,0.607
STAD,DZIP1L,GABRA3,1.53,9.14E-07,1.22,0.000802,1.412,0.652,0.759
STAD,DZIP1L,MYL10,1.61,5.52E-07,1.21,0.0112,1.029,0.537,0.493
STAD,DZIP1L,PRR9,1.74,2.04E-06,1.41,0.000195,1.75,0.822,0.928
STAD,DZIP1L,SPANXB1,1.68,3.56E-06,1.33,0.0023,1.335,0.633,0.701
STAD,EBF2,LCE2B,1.74,0.00152,1.68,0.00143,1.783,0.679,1.104
STAD,EBF2,LCE2D,1.58,0.000556,1.45,0.0019,1.516,0.654,0.862
STAD,EBF2,ONECUT1,1.55,3.32E-07,1.26,0.00081,1.373,0.73,0.643
STAD,EEF1A2,LCE2B,1.76,0.00139,1.6,0.0099,1.53,0.476,1.054
STAD,EHD3,GPRC6A,1.56,6.91E-07,1.26,0.000948,1.329,0.596,0.734
STAD,ELOVL2,LCE2B,1.55,0.0118,1.46,0.00458,1.664,0.563,1.101
STAD,ELOVL2,MYL10,1.54,3.42E-06,1.15,0.00701,1.12,0.585,0.535
STAD,EPM2A,GABRA3,1.53,1.27E-06,1.21,0.0021,1.237,0.546,0.691
STAD,EPM2A,SPANXB1,1.56,3.67E-05,1.21,0.00396,1.23,0.57,0.66
STAD,ERBB4,LCE2B,1.53,0.00228,1.46,0.00528,1.517,0.552,0.965
STAD,EYA1,LCE2B,1.51,0.0146,1.42,0.0048,1.657,0.559,1.097
STAD,EYA4,LCE2B,1.73,0.00605,1.71,0.000464,1.986,0.775,1.211
STAD,F13A1,FAM25A,1.57,5.42E-06,1.21,0.00121,1.445,0.714,0.731
STAD,F13A1,LCE2B,1.88,0.0126,1.73,0.00315,1.85,0.61,1.24
STAD,F13A1,LCE2D,1.86,0.0046,1.62,0.00249,1.723,0.638,1.085
STAD,F5,LCE2B,1.86,0.0029,1.71,0.00468,1.702,0.561,1.141
STAD,FABP4,FAM9A,1.53,5.92E-05,1.17,0.00225,1.33,0.697,0.633
STAD,FABP4,GABRA3,1.57,3.09E-07,1.29,0.000503,1.44,0.689,0.752
STAD,FABP4,GH2,1.5,1.88E-05,1.36,5.76E-05,1.619,0.639,0.98
STAD,FABP4,PASD1,1.87,1.95E-08,1.48,0.0018,1.326,0.684,0.643
STAD,FABP4,PRR9,1.64,1.72E-06,1.35,0.000476,1.473,0.704,0.769
STAD,FAM129A,GABRA3,1.55,1.76E-06,1.21,0.00119,1.371,0.611,0.761
STAD,FAM129A,LCE2D,1.93,0.00203,1.65,0.00461,1.604,0.568,1.036
STAD,FAM129A,PASD1,1.53,2.56E-05,1.13,0.00592,1.172,0.562,0.61
STAD,FAM180A,LCE2D,1.67,0.000426,1.53,0.00153,1.582,0.673,0.909
STAD,FAM181B,LCE2B,1.79,0.00221,1.63,0.00856,1.576,0.491,1.086
STAD,FAM181B,LCE2D,1.65,0.00176,1.43,0.00832,1.411,0.494,0.917
STAD,FAM19A3,KPNA7,1.53,4.45E-06,1.18,0.00234,1.269,0.63,0.639
STAD,FAM19A3,LCE2B,1.79,0.000873,1.67,0.00491,1.6,0.554,1.045
STAD,FAM216B,LCE2B,1.89,0.000688,1.79,0.00169,1.783,0.662,1.12
STAD,FAM9A,FGF5,1.6,8.59E-06,1.2,0.00938,1.08,0.533,0.547
STAD,FAM9A,GPIHBP1,1.51,0.000121,1.14,0.00294,1.328,0.649,0.678
STAD,FAM9A,MAPK10,1.51,9.60E-05,1.11,0.00762,1.149,0.575,0.573
STAD,FAM9A,NTN1,1.63,1.78E-05,1.23,0.00489,1.242,0.617,0.625
STAD,FAM9A,PCDHB5,1.51,2.89E-05,1.15,0.00549,1.132,0.526,0.605
STAD,FAM9A,PCDHGA3,1.5,6.21E-05,1.12,0.00702,1.139,0.557,0.582
STAD,FAM9A,PCDHGA4,1.52,4.19E-05,1.15,0.00416,1.216,0.581,0.635
STAD,FAM9A,PCDHGA7,1.62,3.67E-06,1.22,0.00985,1.072,0.526,0.546
STAD,FAM9A,PRKD1,1.52,9.49E-06,1.22,0.000801,1.389,0.607,0.781
STAD,FAM9A,PWP2,1.6,1.89E-07,1.35,0.00038,1.39,0.55,0.84
STAD,FAM9A,RGS4,1.72,2.93E-06,1.31,0.00414,1.264,0.621,0.642
STAD,FAM9A,RIMS2,1.56,5.81E-06,1.2,0.0063,1.092,0.5,0.593
STAD,FAM9A,SLITRK2,1.52,3.41E-05,1.15,0.00466,1.206,0.581,0.626
STAD,FAM9A,UBE2QL1,1.63,2.30E-06,1.28,0.00258,1.261,0.582,0.679
STAD,FAT3,NFE4,1.5,2.50E-07,1.29,9.89E-05,1.553,0.883,0.67
STAD,FBLN5,LCE2B,2.78,0.000116,2.3,0.00271,1.889,0.625,1.264
STAD,FBLN5,LCE2D,1.63,0.00747,1.44,0.00308,1.621,0.607,1.014
STAD,FBLN5,MYL10,1.51,4.64E-06,1.13,0.00871,1.07,0.56,0.51
STAD,FERMT2,LCE2D,1.6,0.0033,1.41,0.00419,1.519,0.572,0.947
STAD,FGF14,KCTD1,1.67,6.92E-08,1.35,0.000409,1.528,0.851,0.677
STAD,FGF5,LCE2D,2.09,1.32E-05,1.79,0.00556,1.464,0.54,0.924
STAD,FGF7,LCE2B,4.49,2.06E-06,2.99,0.00198,2.04,0.67,1.37
STAD,FGG,LCE2B,1.53,0.00236,1.46,0.00474,1.522,0.565,0.958
STAD,FGG,PRR9,1.51,3.55E-06,1.23,0.00137,1.252,0.597,0.655
STAD,FGG,PRSS21,1.5,6.48E-06,1.14,0.00361,1.205,0.649,0.556
STAD,FGL1,LCE2B,1.79,0.00114,1.73,0.00121,1.801,0.693,1.109
STAD,FGL1,SHISA2,1.56,2.17E-07,1.26,0.00133,1.274,0.701,0.573
STAD,FHL5,LCE2B,1.52,0.0146,1.54,0.000329,1.992,0.804,1.189
STAD,FHL5,LCE2D,1.67,0.00331,1.58,0.000219,1.925,0.842,1.083
STAD,FLRT2,MYL10,1.5,1.03E-06,1.19,0.00237,1.186,0.691,0.494
STAD,FMO1,LCE2B,1.66,0.000573,1.63,0.0015,1.669,0.677,0.992
STAD,FMO1,LCE2D,1.51,0.00132,1.4,0.00123,1.571,0.692,0.879
STAD,FMO1,OLIG3,1.54,4.20E-06,1.26,0.000708,1.39,0.757,0.634
STAD,FN1,LCE2D,1.54,0.00542,1.34,0.00626,1.46,0.527,0.933
STAD,FOLR3,HTR2B,1.55,2.08E-06,1.23,0.00085,1.42,0.705,0.715
STAD,FOXS1,LCE2B,1.66,0.00353,1.56,0.00453,1.628,0.563,1.065
STAD,FRMPD3,LCE2D,1.53,0.00276,1.32,0.00951,1.355,0.48,0.875
STAD,FXYD2,LCE2B,1.71,0.0016,1.58,0.00736,1.551,0.509,1.042
STAD,FXYD2,LCE2D,1.7,0.000643,1.48,0.00651,1.425,0.523,0.902
STAD,FZD7,LCE2D,1.64,0.000736,1.47,0.00356,1.484,0.59,0.894
STAD,GABRA3,INAFM2,1.53,7.84E-07,1.23,0.0019,1.23,0.673,0.557
STAD,GABRA3,KCND2,1.54,1.74E-07,1.31,0.000121,1.576,0.769,0.807
STAD,GABRA3,MEOX2,1.6,3.26E-07,1.29,0.000661,1.447,0.776,0.67
STAD,GABRA3,MRGPRF,1.5,5.22E-06,1.18,0.000863,1.422,0.777,0.645
STAD,GABRA3,NCAM2,1.53,5.56E-07,1.24,0.000828,1.376,0.733,0.643
STAD,GABRA3,NUDT10,1.61,4.55E-08,1.34,0.000647,1.351,0.687,0.663
STAD,GABRA3,NUDT11,1.57,2.56E-08,1.34,0.000577,1.317,0.641,0.675
STAD,GABRA3,PRKD1,1.63,1.21E-08,1.4,0.000114,1.59,0.774,0.815
STAD,GABRA3,SNCA,1.52,1.60E-07,1.29,0.000249,1.468,0.718,0.75
STAD,GABRA3,THSD7A,1.58,5.63E-07,1.27,0.000524,1.485,0.792,0.693
STAD,GALNT13,TDO2,1.52,5.72E-07,1.23,0.000627,1.354,0.813,0.542
STAD,GALNT15,GH2,1.54,7.73E-06,1.37,9.54E-05,1.571,0.594,0.977
STAD,GAMT,LCE2B,1.55,0.0182,1.49,0.00209,1.79,0.641,1.15
STAD,GAMT,SALL4,1.66,2.22E-07,1.29,0.00421,1.169,0.643,0.525
STAD,GDF7,LCE2B,1.66,0.00261,1.52,0.0105,1.502,0.467,1.035
STAD,GFAP,LCE2D,1.64,0.000721,1.43,0.00762,1.375,0.508,0.867
STAD,GFRA1,LCE2B,1.98,0.0251,1.78,0.00461,1.85,0.574,1.276
STAD,GFRA2,LCE2D,1.73,0.000379,1.61,0.000617,1.71,0.75,0.96
STAD,GGT5,LCE2B,1.71,0.0099,1.62,0.00218,1.828,0.642,1.186
STAD,GGT5,LCE2D,1.84,0.00105,1.64,0.00182,1.691,0.662,1.029
STAD,GGT5,PASD1,1.53,1.36E-05,1.19,0.00152,1.363,0.704,0.658
STAD,GH2,HP,1.59,2.19E-07,1.44,0.000209,1.383,0.873,0.51
STAD,GH2,IL1RL1,1.5,1.25E-05,1.32,0.000174,1.47,0.945,0.525
STAD,GH2,INAFM2,1.6,1.93E-06,1.43,0.000117,1.522,0.955,0.567
STAD,GH2,KLHL30,1.54,1.98E-06,1.36,0.000341,1.334,0.888,0.446
STAD,GH2,MAP2,1.5,6.45E-06,1.33,0.000185,1.444,0.925,0.519
STAD,GH2,NFE4,1.88,4.57E-09,1.67,8.38E-05,1.567,0.962,0.605
STAD,GH2,NTN1,1.52,3.20E-05,1.34,8.98E-05,1.595,0.997,0.598
STAD,GH2,OR2W3,1.55,2.04E-06,1.4,0.000122,1.482,0.918,0.563
STAD,GH2,PRL,1.54,5.52E-07,1.43,7.72E-05,1.499,0.882,0.618
STAD,GH2,PSAPL1,1.51,1.17E-05,1.31,0.000272,1.399,0.929,0.47
STAD,GH2,SLC7A2,1.55,5.87E-06,1.37,0.000158,1.484,0.949,0.535
STAD,GH2,SORCS2,1.52,1.70E-06,1.43,2.41E-05,1.683,0.959,0.724
STAD,GH2,SPANXB1,1.55,4.38E-06,1.41,0.000425,1.272,0.837,0.435
STAD,GH2,SPINK14,1.63,3.12E-07,1.46,0.000154,1.45,0.912,0.538
STAD,GH2,TDO2,1.61,1.03E-05,1.4,0.000122,1.58,1.01,0.57
STAD,GH2,TFPI,1.68,1.97E-07,1.51,0.00011,1.515,0.937,0.578
STAD,GH2,ZNF229,1.57,1.25E-06,1.37,0.000402,1.313,0.89,0.423
STAD,GLP2R,LCE2D,1.63,0.000442,1.53,0.000686,1.637,0.739,0.898
STAD,GLP2R,RND1,1.53,3.87E-07,1.27,0.000187,1.557,0.855,0.702
STAD,GLYATL2,LCE2D,1.5,0.0037,1.34,0.00353,1.498,0.593,0.906
STAD,GPIHBP1,LCE2D,1.66,0.00219,1.47,0.00385,1.531,0.581,0.95
STAD,GPIHBP1,SPANXB1,1.77,7.91E-07,1.41,0.00243,1.296,0.621,0.675
STAD,GPNMB,LCE2B,2.04,0.00794,1.82,0.00492,1.809,0.564,1.245
STAD,GPR135,LCE2D,1.56,0.00156,1.34,0.0111,1.32,0.461,0.859
STAD,GPR173,LCE2B,1.94,0.00549,1.9,0.000157,2.18,0.863,1.316
STAD,GPR173,LCE2D,1.52,0.00138,1.46,0.000331,1.717,0.798,0.919
STAD,GPRC6A,LCE2B,1.52,0.0058,1.49,0.0015,1.674,0.666,1.009
STAD,GPRC6A,LRAT,1.64,1.98E-08,1.38,0.000728,1.287,0.661,0.626
STAD,GPRC6A,SCTR,1.55,1.81E-07,1.29,0.00064,1.318,0.688,0.63
STAD,GRASP,LCE2B,4.31,1.90E-06,3,0.00037,2.234,0.814,1.419
STAD,GRB14,LCE2B,1.54,0.00313,1.49,0.00296,1.616,0.612,1.005
STAD,GRIN2A,LCE2D,1.71,0.000393,1.54,0.00247,1.534,0.626,0.908
STAD,GRIN2A,STC1,1.51,1.35E-06,1.19,0.0026,1.208,0.637,0.571
STAD,GRP,MEI4,1.5,6.99E-07,1.21,0.00178,1.181,0.468,0.713
STAD,GSTM5,LCE2B,2.39,0.000683,2.07,0.00359,1.82,0.593,1.227
STAD,GSTM5,LCE2D,1.62,0.00516,1.42,0.00442,1.537,0.567,0.97
STAD,GSTM5,PASD1,1.56,1.53E-05,1.18,0.00379,1.235,0.61,0.625
STAD,GSTM5,PRR9,1.63,6.42E-06,1.31,0.000607,1.497,0.69,0.808
STAD,GSTM5,RND1,1.56,4.42E-06,1.19,0.00181,1.374,0.674,0.7
STAD,GSTM5,SPANXB1,1.62,2.40E-05,1.27,0.00257,1.311,0.617,0.694
STAD,HAS2,LCE2B,1.74,0.00429,1.64,0.00322,1.74,0.6,1.14
STAD,HAVCR1,PRR9,1.52,3.16E-06,1.24,0.00101,1.32,0.63,0.69
STAD,HOXC5,LCE2B,1.56,0.0109,1.48,0.00323,1.68,0.597,1.083
STAD,HOXD11,NT5E,1.51,6.05E-07,1.26,0.000192,1.55,0.764,0.787
STAD,HOXD11,PCDH7,1.54,1.84E-06,1.27,0.000151,1.652,0.833,0.819
STAD,HP,IQCJ,1.58,1.17E-06,1.36,0.00024,1.451,0.624,0.827
STAD,HP,LCE2B,1.53,0.00228,1.46,0.00516,1.517,0.555,0.962
STAD,HRH2,LCE2B,1.91,0.000515,1.73,0.00799,1.57,0.5,1.07
STAD,HSPB2,LCE2B,1.63,0.0128,1.56,0.00185,1.821,0.653,1.168
STAD,HSPB2,LCE2D,1.51,0.00728,1.36,0.00188,1.624,0.652,0.972
STAD,HSPB6,SPANXB1,1.54,8.52E-05,1.18,0.00452,1.228,0.556,0.672
STAD,HTR2A,LCE2B,1.65,0.0149,1.53,0.00511,1.711,0.552,1.159
STAD,HTR2A,LCE2D,1.52,0.00626,1.32,0.00596,1.466,0.534,0.932
STAD,HTR2A,ONECUT1,1.52,2.65E-06,1.16,0.0049,1.159,0.552,0.607
STAD,HTR2A,SPANXB1,1.6,2.85E-05,1.25,0.0026,1.329,0.619,0.71
STAD,HTR2B,LCE2B,3.1,0.000146,2.48,0.00138,2.019,0.693,1.326
STAD,HTR2B,LCE2D,2.59,0.000459,2.13,0.001,1.908,0.732,1.176
STAD,HTR2B,PADI3,1.64,2.19E-07,1.33,0.000311,1.57,0.773,0.797
STAD,HTR2B,PASD1,1.51,4.12E-05,1.17,0.00105,1.435,0.737,0.697
STAD,HTR7,KCTD1,1.55,2.97E-06,1.17,0.00335,1.298,0.673,0.625
STAD,HTR7,LCE2B,1.57,0.00347,1.48,0.00596,1.565,0.539,1.027
STAD,IGFBP1,MBOAT4,1.63,3.42E-08,1.35,0.000398,1.438,0.787,0.651
STAD,IGSF21,LCE2D,1.59,0.00453,1.44,0.00182,1.654,0.658,0.996
STAD,IL1A,OLFML2B,1.5,5.87E-07,1.28,5.72E-05,1.695,0.787,0.909
STAD,IL1RAPL1,LCE2D,1.55,0.00156,1.39,0.00361,1.461,0.588,0.873
STAD,INAFM2,LCE2B,1.53,0.00425,1.44,0.00668,1.526,0.522,1.004
STAD,INAFM2,LCE2D,1.71,0.000297,1.51,0.00593,1.407,0.534,0.873
