cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,ANKRD45,C1QTNF4,1.55,1.97E-06,1.16,0.011,1.017,0.463,0.554
STAD,ANKRD45,FBXO27,1.52,6.31E-06,1.11,0.0195,0.937,0.447,0.489
STAD,ANKRD45,FXYD2,1.62,1.14E-06,1.2,0.0103,1.082,0.521,0.561
STAD,ANKRD45,LRRN1,1.55,2.31E-06,1.16,0.0104,1.024,0.465,0.559
STAD,ANKRD45,PCDHA11,1.52,1.76E-07,1.28,0.000313,1.343,0.476,0.867
STAD,ANO4,LCE2B,1.52,0.00424,1.45,0.0047,1.548,0.559,0.989
STAD,APBB1IP,CRYGC,1.56,9.87E-05,1.15,0.0104,1.128,0.565,0.564
STAD,APBB1IP,LCE2B,3.75,2.50E-05,2.71,0.00319,1.946,0.619,1.327
STAD,APBB1IP,LCE2D,1.74,0.00153,1.51,0.00545,1.505,0.544,0.961
STAD,APCS,BBOX1,1.5,0.000318,1.28,0.00292,1.307,0.857,0.45
STAD,APCS,BRINP3,1.81,4.13E-06,1.55,0.00235,1.357,0.879,0.477
STAD,APCS,C21orf33,1.59,7.07E-05,1.4,0.00101,1.472,0.893,0.578
STAD,APCS,C5orf58,1.71,2.81E-05,1.47,0.00184,1.42,0.91,0.51
STAD,APCS,C8orf22,1.72,8.85E-06,1.5,0.00321,1.247,0.799,0.448
STAD,APCS,CALY,1.57,3.90E-05,1.36,0.00271,1.297,0.834,0.463
STAD,APCS,CCDC152,1.57,8.85E-05,1.35,0.00221,1.357,0.87,0.487
STAD,APCS,CDH19,1.53,0.000126,1.3,0.00329,1.278,0.842,0.436
STAD,APCS,CLDN11,1.59,8.57E-05,1.36,0.00283,1.322,0.866,0.456
STAD,APCS,CLDN6,1.81,1.56E-06,1.59,0.00131,1.413,0.863,0.55
STAD,APCS,CLDN9,1.97,1.72E-07,1.75,0.000431,1.565,0.905,0.66
STAD,APCS,CRCT1,1.88,1.44E-06,1.62,0.00171,1.409,0.892,0.516
STAD,APCS,CST5,1.67,7.15E-06,1.52,0.000548,1.496,0.859,0.636
STAD,APCS,CST6,1.94,5.13E-07,1.69,0.00114,1.457,0.894,0.563
STAD,APCS,CYP19A1,2.14,1.53E-07,1.8,0.00133,1.487,0.938,0.549
STAD,APCS,CYP26A1,1.83,6.78E-06,1.62,0.000508,1.599,0.952,0.647
STAD,APCS,DCLK3,1.79,1.42E-05,1.54,0.00158,1.444,0.916,0.528
STAD,APCS,FAM107A,1.54,0.000137,1.38,0.000668,1.518,0.901,0.617
STAD,APCS,FAM25A,1.64,0.000115,1.44,0.00104,1.467,0.897,0.57
STAD,APCS,FAM9A,1.71,3.83E-06,1.48,0.00517,1.156,0.771,0.385
STAD,APCS,GABRA3,1.52,2.80E-05,1.39,0.000692,1.439,0.818,0.621
STAD,APCS,GABRQ,1.53,3.21E-05,1.35,0.00171,1.346,0.821,0.525
STAD,APCS,GPIHBP1,1.55,8.31E-05,1.36,0.00149,1.391,0.858,0.533
STAD,APCS,GPRC6A,1.74,1.40E-06,1.59,0.000483,1.468,0.823,0.644
STAD,APCS,GPX3,1.59,0.000223,1.37,0.00159,1.445,0.919,0.526
STAD,APCS,HOXD11,1.62,1.38E-05,1.47,0.000643,1.47,0.848,0.622
STAD,APCS,HP,1.59,3.59E-05,1.41,0.00117,1.41,0.847,0.563
STAD,APCS,IGFBP1,1.63,2.08E-06,1.51,0.000418,1.469,0.801,0.668
STAD,APCS,ITIH4,1.51,1.79E-05,1.39,0.000657,1.421,0.795,0.625
STAD,APCS,ITIH5,1.55,0.000114,1.39,0.000639,1.524,0.903,0.621
STAD,APCS,KPNA7,1.55,7.33E-05,1.37,0.00128,1.408,0.857,0.551
STAD,APCS,KRTAP2-3,1.88,4.68E-07,1.64,0.00182,1.334,0.824,0.51
STAD,APCS,LBP,1.64,2.98E-05,1.42,0.00236,1.336,0.857,0.479
STAD,APCS,LCE2B,1.51,0.0229,1.59,0.00185,1.75,0.823,0.927
STAD,APCS,LCE2D,1.9,0.00024,1.83,0.00228,1.546,0.8,0.745
STAD,APCS,LGSN,1.61,1.11E-05,1.43,0.00162,1.337,0.811,0.526
STAD,APCS,LIMD2,1.62,4.40E-05,1.4,0.00215,1.364,0.875,0.489
STAD,APCS,MAGEA11,1.86,1.05E-06,1.61,0.00159,1.405,0.878,0.527
STAD,APCS,MAGEA3,2.11,4.40E-07,1.77,0.0015,1.48,0.945,0.536
STAD,APCS,MAGEL2,1.57,1.00E-04,1.37,0.00145,1.414,0.879,0.535
STAD,APCS,MAP7D2,1.54,0.000115,1.34,0.00171,1.38,0.861,0.519
STAD,APCS,MYL4,1.87,9.12E-08,1.74,0.000111,1.663,0.891,0.772
STAD,APCS,OLIG3,1.72,1.73E-05,1.51,0.00208,1.323,0.821,0.502
STAD,APCS,PADI3,1.55,1.23E-05,1.4,0.00125,1.352,0.791,0.561
STAD,APCS,PALM,1.56,0.000148,1.34,0.0022,1.362,0.876,0.486
STAD,APCS,PF4V1,1.69,5.29E-05,1.46,0.00146,1.465,0.927,0.538
STAD,APCS,PODNL1,1.56,0.00168,1.33,0.00119,1.557,0.991,0.566
STAD,APCS,PPM1E,1.54,2.74E-05,1.37,0.00149,1.355,0.815,0.54
STAD,APCS,PPP1R14A,1.51,0.00024,1.36,0.000501,1.539,0.898,0.641
STAD,APCS,PRR9,1.61,1.23E-05,1.47,0.00119,1.33,0.76,0.57
STAD,APCS,PRSS21,2.04,7.12E-06,1.73,0.000803,1.623,1.014,0.609
STAD,APCS,PWP2,1.52,1.33E-05,1.46,8.78E-05,1.66,0.858,0.802
STAD,APCS,RND1,1.5,0.00028,1.32,0.00109,1.459,0.892,0.567
STAD,APCS,RND2,1.55,5.00E-05,1.35,0.00222,1.316,0.827,0.489
STAD,APCS,RNF182,1.65,4.73E-05,1.41,0.00268,1.329,0.867,0.462
STAD,APCS,RTN4RL2,1.84,1.01E-06,1.61,0.00125,1.433,0.879,0.554
STAD,APCS,RXRG,1.68,2.26E-06,1.56,0.000261,1.543,0.84,0.703
STAD,APCS,S100A12,1.58,0.000302,1.35,0.002,1.404,0.907,0.498
STAD,APCS,SALL4,1.56,0.000119,1.34,0.00263,1.326,0.86,0.466
STAD,APCS,SPINK14,1.53,4.70E-05,1.35,0.00172,1.342,0.822,0.521
STAD,APCS,TEKT4,1.51,0.000454,1.31,0.00134,1.448,0.903,0.545
STAD,APCS,TF,1.61,4.63E-06,1.48,0.000534,1.457,0.815,0.642
STAD,APCS,TFPI2,1.5,6.76E-05,1.37,0.000524,1.496,0.855,0.641
STAD,APCS,TGFB2,1.67,1.06E-05,1.51,0.000466,1.55,0.895,0.655
STAD,APCS,TMSB15A,1.68,2.50E-05,1.52,0.000353,1.611,0.933,0.678
STAD,APCS,UPK1B,1.54,1.46E-05,1.46,0.000138,1.605,0.845,0.76
STAD,APCS,VTN,1.51,0.000279,1.29,0.00238,1.346,0.87,0.477
STAD,APOD,LCE2B,1.55,0.00906,1.51,0.00162,1.75,0.66,1.09
STAD,ARHGAP20,RND1,1.53,4.49E-06,1.18,0.00126,1.427,0.711,0.716
STAD,ART4,LCE2B,1.55,0.0117,1.46,0.00451,1.668,0.565,1.103
STAD,ART4,PRR9,1.61,1.69E-06,1.3,0.000926,1.384,0.641,0.743
STAD,ASGR2,C6,1.55,1.23E-06,1.17,0.00877,1.051,0.488,0.562
STAD,ASGR2,LCE2B,1.64,0.00159,1.51,0.0106,1.469,0.468,1
STAD,ASTN1,PASD1,1.56,2.50E-06,1.2,0.00718,1.067,0.541,0.526
STAD,ATP1B2,LCE2B,1.56,0.00772,1.53,0.00118,1.799,0.692,1.108
STAD,ATP8A2,C8orf22,1.61,2.60E-08,1.41,0.00011,1.438,0.91,0.528
STAD,ATP8A2,KCTD1,1.6,1.20E-08,1.39,2.43E-05,1.726,1.038,0.688
STAD,ATP8A2,LCE2D,1.59,8.56E-05,1.58,9.75E-05,1.725,0.893,0.832
STAD,AVPR1A,LCE2B,3.18,2.08E-05,2.5,0.00195,1.978,0.666,1.312
STAD,AVPR2,LCE2B,1.64,0.00308,1.59,0.00177,1.724,0.657,1.067
STAD,B4GALNT1,LCE2D,1.61,0.0014,1.4,0.00779,1.397,0.504,0.893
STAD,BASP1,LCE2B,2.61,8.44E-05,2.18,0.00499,1.765,0.558,1.207
STAD,BASP1,LCE2D,1.52,0.00989,1.31,0.006,1.491,0.533,0.958
STAD,BBOX1,C8orf22,1.58,1.38E-05,1.17,0.0129,1.028,0.487,0.541
STAD,BBOX1,LCE2B,1.77,0.00136,1.61,0.0107,1.5,0.462,1.038
STAD,BBOX1,MMP17,1.74,2.34E-07,1.29,0.0107,1.11,0.55,0.559
STAD,BBOX1,RGS1,1.6,2.02E-06,1.22,0.00173,1.395,0.647,0.747
STAD,BBOX1,UBE2QL1,1.54,4.83E-06,1.18,0.00193,1.333,0.604,0.729
STAD,BEX4,GPRC6A,1.51,7.43E-07,1.27,0.000153,1.554,0.767,0.787
STAD,BEX4,PRR9,1.58,1.80E-06,1.33,0.000223,1.547,0.77,0.777
STAD,BMPR1B,C8B,1.61,2.99E-08,1.38,9.84E-05,1.603,0.869,0.734
STAD,BMPR1B,PRR9,1.53,4.96E-07,1.33,0.000142,1.496,0.796,0.701
STAD,BMPR1B,RND1,1.57,2.98E-07,1.32,4.76E-05,1.782,0.971,0.811
STAD,BPIFC,DUSP1,1.5,5.70E-06,1.12,0.00714,1.121,0.596,0.525
STAD,BPIFC,UPK1B,1.6,3.53E-08,1.35,0.000238,1.46,0.627,0.833
STAD,BRINP1,GH2,1.66,4.48E-07,1.46,0.000205,1.444,0.508,0.936
STAD,BRINP2,C8orf22,1.55,3.96E-06,1.19,0.00844,1.033,0.538,0.494
STAD,BRINP3,C8orf22,1.58,8.78E-06,1.18,0.0129,1.024,0.488,0.536
STAD,BRINP3,FAM9A,1.51,4.92E-05,1.1,0.0171,0.983,0.478,0.505
STAD,C10orf107,LCE2B,1.51,0.0111,1.38,0.0106,1.507,0.463,1.043
STAD,C11orf70,C6,1.57,2.42E-06,1.18,0.00492,1.195,0.556,0.639
STAD,C11orf70,LCE2D,1.65,0.00123,1.42,0.01,1.36,0.471,0.889
STAD,C11orf70,OLIG3,1.71,9.34E-07,1.3,0.00908,1.086,0.503,0.583
STAD,C1QTNF2,LCE2D,1.6,0.00221,1.54,0.00015,1.89,0.861,1.029
STAD,C1QTNF4,CRHR1,1.51,2.03E-07,1.25,0.00158,1.184,0.506,0.678
STAD,C1QTNF4,IGFBP1,1.66,4.00E-08,1.38,0.000123,1.663,0.769,0.894
STAD,C21orf33,GH2,1.63,3.76E-07,1.46,0.000118,1.505,0.569,0.936
